date,pm25,pm10,no,no2,nox,so2,co,ozone,t2m,wind_speed,humidity,precip_mm,msl,wind_dir_sin,wind_dir_cos,is_monsoon,inversion_flag,traffic_index,is_weekend,is_gazetted_holiday,is_restricted_holiday,fire_count,daily_frp,is_festival,festival_intensity,is_wedding_heavy,fire_wind_interaction,region_Central,region_East,region_North,region_South,region_West,AQI,AQI_lag1,AQI_lag2,AQI_lag3,AQI_rolling_mean_3,AQI_rolling_mean_7,pm25_lag1,pm25_lag2,pm25_lag3,pm25_rolling_mean_3,pm25_rolling_mean_7
2024-12-17,299.95875,416.165,137.71,119.66,190.41875,11.96333333,2.7075,25.54,13.28792604,0.741274076,73.20338325,0.0,1016.340895,-0.988493896,-0.15126076,0,1,5,0,0,0,0,0.0,0,0,0,0.0,True,False,False,False,False,438,418.0,346.0,233.0,332.3333333333333,292.0,273.055,180.11375,99.855,184.34125000000003,145.31482142857143
2024-12-18,352.8275,482.83,103.7725,108.8,145.6925,13.76333333,2.48125,23.7575,12.76920031,1.269012011,74.49257275,0.0,1015.320745,-0.541196538,0.840896134,0,1,5,0,0,0,0,0.0,0,0,0,0.0,True,False,False,False,False,479,438.0,418.0,346.0,400.6666666666667,323.0,299.95875,273.055,180.11375,251.0425,174.40678571428572
2024-12-19,304.74125,413.69,132.69125,105.84375,179.0425,15.18333333,2.75875,24.35875,13.18991448,2.095564308,74.98818141,0.0,1015.899437,0.221641309,-0.975128263,0,0,5,0,0,0,0,0.0,0,0,0,0.0,True,False,False,False,False,442,479.0,438.0,418.0,445.0,357.42857142857144,352.8275,299.95875,273.055,308.61375,210.32053571428568
2024-12-20,304.60125,418.765,106.8775,104.33,145.88625,11.755,2.1875,29.42375,14.3090001,1.441674271,76.67609687,0.0,1015.231891,-0.997580023,0.069527679,0,1,5,0,0,0,1,0.24,0,0,0,0.69363796,True,False,False,False,False,442,442.0,479.0,438.0,453.0,373.4285714285714,304.74125,352.8275,299.95875,319.1758333333333,231.11678571428573
2024-12-21,209.585,302.1925,74.2975,82.94125,111.00125,13.675,1.88625,23.76875,13.7901926,1.865013841,74.47578161,0.0,1015.940729,-0.960353122,0.278786443,0,0,4,1,0,0,1,0.51,0,0,0,0.53618905,True,False,False,False,False,369,442.0,442.0,479.0,454.3333333333333,399.7142857142857,304.60125,304.74125,352.8275,320.7233333333333,259.3075
2024-12-22,280.87,379.3525,130.65875,114.865,179.345,15.015,2.4425,23.8075,14.18143104,1.397285427,74.7443348,0.0,1015.359538,0.421742469,-0.906715661,0,1,2,1,0,0,0,0.0,0,0,0,0.0,True,False,False,False,False,424,369.0,442.0,442.0,417.6666666666667,419.1428571428572,209.585,304.60125,304.74125,272.97583333333336,274.98321428571427
2024-12-23,261.875,357.15,53.38875,103.17125,99.2325,11.68833333,1.645,14.7625,13.73415313,2.432712016,80.42512929,4.036211043,1016.333219,-0.251190988,-0.967937543,0,0,5,0,0,0,0,0.0,0,0,0,0.0,True,False,False,False,False,409,424.0,369.0,442.0,411.6666666666667,430.2857142857143,280.87,209.585,304.60125,265.01875,289.3769642857143
2024-12-24,179.2,249.5125,37.32375,76.2475,70.8575,13.335,1.395,18.13375,15.05107833,1.862867437,78.95578352,0.846097769,1017.271782,-0.64559233,-0.763682227,0,0,4,0,0,1,0,0.0,1,3,0,0.0,True,False,False,False,False,346,409.0,424.0,369.0,400.6666666666667,429.0,261.875,280.87,209.585,250.77666666666664,287.7798214285714
2024-12-25,183.89625,260.95,78.65,70.36,101.215,12.78,1.9475,19.94125,14.53841313,1.931360923,80.99633229,0.0,1019.142535,-0.844705536,0.535231313,0,0,1,0,1,0,0,0.0,1,3,0,0.0,True,False,False,False,False,349,346.0,409.0,424.0,393.0,415.8571428571428,179.2,261.875,280.87,240.6483333333333,270.5285714285714
2024-12-26,206.68625,291.87125,81.1325,79.12,107.90125,14.39,1.96875,22.43375,15.70305021,0.975033418,76.91550629,0.02197316,1020.429001,-0.694618679,-0.719378128,0,0,5,0,0,0,0,0.0,0,0,0,0.0,True,False,False,False,False,367,349.0,346.0,409.0,368.0,397.2857142857143,183.89625,179.2,261.875,208.32375,246.3955357142857
2024-12-27,175.80625,218.75875,58.0725,63.30125,80.58625,7.961666667,1.45625,13.59625,14.36348958,2.826315089,93.33284848,28.74658773,1019.046683,-0.281688653,-0.959505864,0,0,5,0,0,0,0,0.0,0,0,0,0.0,True,False,False,False,False,343,367.0,349.0,346.0,354.0,386.57142857142856,206.68625,183.89625,179.2,189.9275,232.38767857142852
